year,lower,median,upper
1598,-1.8125,-0.5625,0.8125
1599,-2.25,-1,0.375
1600,-2.3125,-1.0625,0.3125
1601,-2.25,-0.9375,0.4375
1602,-2.125,-0.875,0.5
1603,-1.625,-0.375,1
1604,-0.6875,0.625,2
1605,-1.6875,-0.375,1
1606,-0.4375,0.8125,2.25
1607,-1.0625,0.1875,1.5625
1608,-1.1875,0.0625,1.4375
1609,-0.1875,1.0625,2.4375
1610,-0.5,0.75,2.125
1611,-1.875,-0.625,0.75
1612,-1.375,-0.125,1.25
1613,-1.5,-0.1875,1.125
1614,-0.9375,0.3125,1.6875
1615,-1.5,-0.25,1.125
1616,-1.875,-0.625,0.75
1617,-1.625,-0.3125,1
1618,-1.1875,0.0625,1.4375
1619,-0.625,0.625,2
1620,-1,0.25,1.625
1621,-1.25,0,1.375
1622,-2.125,-0.8125,0.5
1623,-2.4375,-1.125,0.1875
1624,-2.1875,-0.9375,0.4375
1625,-2.4375,-1.125,0.1875
1626,-3.125,-1.8125,-0.5
1627,-1.4375,-0.1875,1.1875
1628,-1.375,-0.125,1.25
1629,-0.25,1.0625,2.4375
1630,-1.1875,0.0625,1.4375
1631,-1.25,0,1.375
1632,-2,-0.75,0.625
1633,-1.8125,-0.5625,0.8125
1634,-0.75,0.5,1.875
1635,-0.5,0.75,2.125
1636,-2,-0.875,0.4375
1637,-1.625,-0.5,0.8125
1638,-0.875,0.25,1.5625
1639,-1.25,-0.0625,1.25
1640,-1.5625,-0.4375,0.875
1641,-1.625,-0.4375,0.875
1642,-1.375,-0.25,1.0625
1643,-1.0625,0.0625,1.375
1644,-1.6875,-0.5625,0.75
1645,-1.8125,-0.6875,0.625
1646,-1.0625,0.0625,1.375
1647,-0.5625,0.5625,1.9375
1648,-2.0625,-0.9375,0.375
1649,-1.875,-0.75,0.5625
1650,-2.5625,-1.4375,-0.125
1651,-1.0625,0.0625,1.375
1652,-1.375,-0.25,1.0625
1653,-2.125,-0.9375,0.375
1654,-1.9375,-0.8125,0.5
1655,-1.375,-0.25,1.125
1656,-0.375,0.75,2.125
1657,-1.625,-0.5,0.8125
1658,-1.6875,-0.5,0.8125
1659,-1.1875,-0.0625,1.3125
1660,-0.875,0.3125,1.625
1661,-0.5625,0.5625,1.875
1662,-2,-0.8125,0.5
1663,-2.5625,-1.375,-0.0625
1664,-2,-0.8125,0.5
1665,-1.0625,0.0625,1.375
1666,-1.5625,-0.375,0.9375
1667,-1.25,-0.125,1.1875
1668,-0.8125,0.3125,1.625
1669,-1.9375,-0.8125,0.5
1670,-1.625,-0.5,0.8125
1671,-1.125,0,1.3125
1672,-1.375,-0.25,1.0625
1673,-1.1875,-0,1.3125
1674,-1.125,0,1.375
1675,-1.5,-0.375,1
1676,-1.8125,-0.6875,0.625
1677,-0.9375,0.1875,1.5
1678,-0.625,0.5,1.875
1679,-1.8125,-0.6875,0.625
1680,-1.125,-0,1.3125
1681,-1.5625,-0.4375,0.875
1682,-1.4375,-0.3125,1
1683,-0.9375,0.1875,1.5
1684,-1.8125,-0.625,0.6875
1685,-2.6875,-1.5,-0.25
1686,-1.5,-0.375,0.9375
1687,-1,0.125,1.4375
1688,-0.8125,0.3125,1.6875
1689,-0.8125,0.3125,1.625
1690,-1.1875,-0.0625,1.25
1691,-1.6875,-0.5,0.8125
1692,-1.25,-0.125,1.1875
1693,-1.25,-0.125,1.25
1694,-1.1875,-0.0625,1.3125
1695,-1.0625,0.0625,1.4375
1696,-1.75,-0.5625,0.75
1697,-1.9375,-0.8125,0.5
1698,-1.4375,-0.3125,1
1699,-0.875,0.25,1.5625
1700,-1.625,-0.4375,0.875
1701,-0.6875,0.4375,1.8125
1702,-1.5,-0.375,0.9375
1703,-1.8125,-0.625,0.6875
1704,-1.9375,-0.6875,0.6875
1705,-1.875,-0.5625,0.75
1706,-1.6875,-0.4375,0.9375
1707,-1.6875,-0.375,0.9375
1708,-1.4375,-0.125,1.1875
1709,-1.5625,-0.3125,1.0625
1710,-1.4375,-0.1875,1.1875
1711,-1.25,0,1.375
1712,-1.1875,0.0625,1.4375
1713,-1.4375,-0.1875,1.1875
1714,-1.5,-0.25,1.125
1715,-1.8125,-0.5,0.875
1716,-2.5,-1.1875,0.125
1717,-2.0625,-0.75,0.625
1718,-0.625,0.625,2
1719,-0.375,0.875,2.25
1720,-0.5625,0.6875,2.0625
1721,-0.5625,0.6875,2.0625
1722,-1.625,-0.375,1
1723,-0.875,0.375,1.75
1724,-2,-0.75,0.625
1725,-2.625,-1.3125,0
1726,-1.75,-0.4375,0.875
1727,-1.1875,0.125,1.4375
1728,-1.9375,-0.625,0.75
1729,-1.3125,-0.0625,1.3125
1730,-2.125,-0.8125,0.5625
1731,-1.625,-0.3125,1.0625
1732,-1.3125,0,1.3125
1733,-2.125,-0.875,0.5
1734,-0.6875,0.5625,1.9375
1735,-0.625,0.625,1.9375
1736,-1.3125,0,1.3125
1737,-0.9375,0.3125,1.6875
1738,-1,0.25,1.625
1739,-2.4375,-1.125,0.1875
1740,-1.25,0.0625,1.375
1741,-1.875,-0.5625,0.75
1742,-2.875,-1.5625,-0.25
1743,-1.5625,-0.3125,1.0625
1744,-1.625,-0.3125,1
1745,-0.375,0.875,2.25
1746,-0.6875,0.5625,1.9375
1747,0.0625,1.3125,2.6875
1748,-1.5,-0.1875,1.125
1749,-1.625,-0.375,1
1750,-1.5,-0.25,1.125
1751,-1.4375,-0.125,1.1875
1752,-2.25,-1,0.375
1753,-2,-0.75,0.625
1754,-2,-0.6875,0.625
1755,-2.0625,-0.75,0.5625
1756,-1.3125,-0.0625,1.25
1757,-1.8125,-0.5625,0.8125
1758,-1.375,-0.125,1.25
1759,0,1.25,2.625
1760,-1.6875,-0.375,0.9375
1761,-0.8125,0.4375,1.8125
1762,-1.125,0.125,1.5
1763,-1.375,-0.125,1.25
1764,-0.4375,0.8125,2.1875
1765,-1.5625,-0.3125,1.0625
1766,-0.875,0.375,1.75
1767,-1.5625,-0.25,1.0625
1768,-1.375,-0.0625,1.25
1769,-0.875,0.375,1.75
1770,-0.5,0.75,2.125
1771,-1,0.3125,1.625
1772,-1.625,-0.375,1
1773,-2.0625,-0.75,0.5625
1774,-1.875,-0.625,0.6875
1775,-2.375,-1.0625,0.25
1776,-1.3125,-0.0625,1.3125
1777,-1.25,0.0625,1.375
1778,-2.1875,-0.875,0.4375
1779,-1.75,-0.4375,0.875
1780,-1.5625,-0.25,1.0625
1781,-1.6875,-0.4375,0.875
1782,-1.5,-0.1875,1.125
1783,-0.5625,0.6875,2.0625
1784,-2.0625,-0.8125,0.5625
1785,-2.125,-0.875,0.5
1786,-2.0625,-0.75,0.5625
1787,-0.9375,0.375,1.6875
1788,-2,-0.6875,0.625
1789,-1.75,-0.4375,0.875
1790,-2.125,-0.875,0.5
1791,-1,0.25,1.625
1792,0,1.25,2.625
1793,-0.625,0.625,2
1794,-1.25,0.0625,1.375
1795,-1.3125,-0.0625,1.3125
1796,-1.5625,-0.25,1.0625
1797,-1.4375,-0.1875,1.1875
1798,-1.25,0.0625,1.375
1799,-0.75,0.5,1.8125
1800,-0.3125,1,2.3125
1801,-2.25,-0.9375,0.4375
1802,-1.9375,-0.625,0.6875
1803,-0.8125,0.4375,1.8125
1804,-0.0625,1.1875,2.5625
1805,-2.375,-1.125,0.1875
1806,-2.625,-1.3125,0
1807,-1.6875,-0.375,0.9375
1808,-1.875,-0.5625,0.75
1809,-2.25,-1,0.375
1810,-2,-0.6875,0.625
1811,-1.0625,0.25,1.5625
1812,-1.5,-0.25,1.125
1813,-1.3125,-0.0625,1.3125
1814,-0.6875,0.5625,1.9375
1815,-1.875,-0.5625,0.8125
1816,-0.875,0.4375,1.8125
1817,-0.6875,0.5625,1.9375
1818,-1.4375,-0.1875,1.1875
1819,-2,-0.6875,0.625
1820,-2.125,-0.875,0.5
1821,-0.625,0.625,2
1822,-1.125,0.125,1.5
1823,-1.375,-0.125,1.25
1824,-0.75,0.5,1.875
1825,-1,0.3125,1.625
1826,-1.75,-0.5,0.875
1827,-0.6875,0.625,1.9375
1828,-0.5,0.8125,2.125
1829,-2.125,-0.8125,0.5
1830,-1.625,-0.3125,1
1831,-1.6875,-0.375,1
1832,-0.625,0.625,2
1833,-0.5,0.8125,2.1875
1834,-0.75,0.5,1.875
1835,-1.8125,-0.5,0.8125
1836,-1.5625,-0.3125,1.0625
1837,-0.75,0.5,1.875
1838,-0.5,0.75,2.125
1839,-0,1.25,2.625
1840,-0.9375,0.375,1.6875
1841,-1.0625,0.25,1.625
1842,-1.4375,-0.125,1.1875
1843,-1.1875,0.125,1.4375
1844,-0.5625,0.6875,2.0625
1845,-0.9375,0.375,1.6875
1846,-0.9375,0.3125,1.6875
1847,-2.625,-1.3125,0
1848,-1.5625,-0.3125,1.0625
1849,-1.4375,-0.125,1.25
1850,-0.9375,0.3125,1.6875
1851,-1.75,-0.5,0.875
1852,-1.25,0.0625,1.375
1853,-0.6875,0.5625,1.9375
1854,-1.375,-0.125,1.25
1855,-1.125,0.125,1.5
1856,-1.0625,0.1875,1.5
1857,-1.9375,-0.6875,0.6875
1858,-1.375,-0.125,1.25
1859,-1.125,0.125,1.5
1860,-1.5,-0.1875,1.125
1861,-2.875,-1.5625,-0.25
1862,-2.5,-1.1875,0.125
1863,-1.875,-0.625,0.75
1864,-2.25,-0.9375,0.375
1865,-0.8125,0.5,1.875
1866,-0.5625,0.75,2.0625
1867,-1.3125,-0.0625,1.3125
1868,-1.125,0.125,1.5
1869,0.375,1.625,3
1870,-1.8125,-0.5,0.8125
1871,-2.4375,-1.1875,0.1875
1872,-1.3125,-0,1.3125
1873,-1.75,-0.5,0.8125
1874,-1.625,-0.3125,1
1875,-1.6875,-0.375,0.9375
1876,-1.125,0.125,1.5
1877,-1.25,0.0625,1.375
1878,0.3125,1.5625,2.9375
1879,-3.0625,-1.75,-0.4375
1880,-2.8125,-1.5,-0.1875
1881,-2,-0.6875,0.625
1882,-1.5625,-0.25,1.0625
1883,-1.75,-0.5,0.8125
1884,-1.0625,0.1875,1.5625
1885,-0.375,0.875,2.25
1886,-0.8125,0.5,1.875
1887,-2.6875,-1.5,-0.1875
