,date,c13,o18
514,1771.58,-24.08,26.63
515,1771.75,-24.1,27.26
516,1771.92,-25.14,25.8
517,1772.13,-24.99,26.0
518,1772.38,-24.7,27.0
519,1772.63,-24.39,25.81
520,1772.88,-24.31,25.14
521,1773.17,-24.49,25.33
522,1773.5,-24.51,26.11
523,1773.83,-24.52,25.38
524,1774.13,-24.91,25.24
525,1774.38,-25.05,23.97
526,1774.63,-25.02,25.08
527,1774.88,-25.07,25.8
528,1775.1,-24.69,26.27
529,1775.3,-24.76,26.15
530,1775.5,-24.61,27.11
531,1775.7,-24.77,26.53
532,1775.9,-24.82,26.78
533,1776.17,-24.98,26.75
534,1776.5,-24.84,25.96
535,1776.83,-25.2,24.78
536,1777.13,-25.05,25.8
537,1777.38,-24.98,25.22
538,1777.63,-25.61,24.75
539,1777.88,-25.7,24.8
540,1778.25,-24.98,25.17
541,1778.75,-24.43,25.47
542,1779.17,-24.87,24.66
543,1779.5,-24.78,24.57
544,1779.83,-25.5,24.81
545,1780.17,-25.27,24.99
546,1780.5,-25.02,25.53
547,1780.83,-25.55,25.96
548,1781.08,-26.21,25.88
549,1781.25,-26.09,24.92
550,1781.42,-26.58,23.64
551,1781.58,-26.74,23.61
552,1781.75,-26.63,24.27
553,1781.92,-26.7,24.13
554,1782.17,-26.28,24.78
555,1782.5,-26.2,24.32
556,1782.83,-26.84,24.47
557,1783.13,-26.66,24.32
558,1783.38,-26.32,24.93
559,1783.63,-26.45,24.33
560,1783.88,-26.75,24.71
561,1784.13,-26.15,26.72
562,1784.38,-25.93,25.69
563,1784.63,-26.21,25.03
564,1784.88,-26.48,25.09
565,1785.08,-26.1,24.79
566,1785.25,-25.52,24.77
567,1785.42,-26.08,24.12
568,1785.58,-26.1,23.77
569,1785.75,-26.04,24.07
570,1785.92,-26.07,24.11
571,1786.17,-25.48,25.59
572,1786.5,-25.31,25.49
573,1786.83,-25.76,24.48
574,1787.13,-25.62,23.76
575,1787.38,-25.74,24.94
576,1787.63,-25.72,25.83
577,1787.88,-26.09,24.77
578,1788.5,-25.87,24.72
579,1789.17,-25.13,24.96
580,1789.5,-25.46,25.92
581,1789.83,-26.32,24.51
582,1790.13,-26.24,24.9
583,1790.38,-25.86,26.11
584,1790.63,-26.33,25.54
585,1790.88,-26.46,24.35
586,1791.5,-26.15,24.54
587,1792.17,-26.09,25.58
588,1792.5,-25.47,25.68
589,1792.83,-26.17,24.99
590,1793.17,-26.72,24.75
591,1793.5,-26.41,25.69
592,1793.83,-26.92,24.93
593,1794.25,-26.91,24.42
594,1794.75,-26.63,24.41
595,1795.08,-26.85,24.12
596,1795.25,-25.86,24.81
597,1795.42,-25.73,25.03
