date,c13,o18
1873.75,-24.7,27.29
1873.92,-25.29,25.08
1874.08,-25.05,27.28
1874.25,-23.65,26.91
1874.42,-23.66,26.68
1874.58,-23.98,26.09
1874.75,-24.14,26.37
1874.92,-24.09,26.1
1875.08,-24.01,26.73
1875.25,-23.77,26.91
1875.42,-24.03,25.42
1875.58,-23.83,27.87
1875.75,-24.26,26.51
1875.92,-24.66,27.66
1876.08,-24.27,27.29
1876.25,-24.11,27.72
1876.42,-24.2,27.24
1876.58,-24.86,26.91
1876.75,-24.95,26.52
1876.92,-25.19,27.11
1877.08,-25.07,27.41
1877.25,-23.83,29.49
1877.42,-23.59,28.78
1877.58,-23.61,30.03
1877.75,-24.14,28.99
1877.92,-25.29,26.88
1878.08,-25.38,25.55
1878.25,-23.93,27.1
1878.42,-24.19,24.95
1878.58,-24.44,24.13
1878.75,-24.99,24.34
1878.92,-25.64,24.38
1879.08,-25.33,24.6
1879.25,-25.09,25.12
1879.42,-24.59,25.7
1879.58,-24.32,26.03
1879.75,-25.04,26.14
1879.92,-25.19,26.05
1880.08,-24.82,26.15
1880.25,-24.12,26.51
1880.42,-24.75,26.17
1880.58,-24.9,26.43
1880.75,-24.99,25.15
1880.92,-25.18,26.62
1881.08,-25.52,26.83
1881.25,-25.16,26.37
1881.42,-24.22,26.02
1881.58,-24.31,26.03
1881.75,-24.24,26.12
1881.92,-24.98,26.43
1882.08,-24.88,25.99
1882.25,-25.38,26.51
1882.42,-24.64,27.98
1882.58,-24.81,27.78
1882.75,-25.43,27.21
1882.92,-25.11,29.91
1883.08,-24.68,29.12
1883.25,-24.24,27.71
1883.42,-24.86,28.73
1883.58,-24.89,27.16
1883.75,-25.11,27.36
1883.92,-25.18,27.66
1884.08,-25.39,27.83
1884.25,-24.73,28.91
1884.42,-24.67,29.08
1884.58,-25.2,27.53
1884.75,-25.18,27.94
1884.92,-25.28,28.98
1885.08,-24.9,29.6
1885.25,-24.62,29.11
1885.42,-24.75,28.24
1885.58,-24.94,27.82
1885.75,-25.11,28.43
1885.92,-25.57,28.43
1886.08,-25.61,27.99
1886.25,-24.88,28.09
1886.42,-24.06,26.13
1886.58,-24.95,27.62
1886.75,-25.47,28.11
1886.92,-25.92,26.67
1887.08,-24.25,29.18
1887.25,-23.95,30.31
1887.42,-24.53,28.69
1887.58,-25.13,28.73
1887.75,-25.2,29.52
1887.92,-25.31,30.01
1888.08,-25.22,30.78
1888.25,-24.34,28.19
1888.42,-24.62,28.16
1888.58,-24.97,28.18
1888.75,-25.31,27.07
1888.92,-25.61,26.86
1889.08,-26.01,26.97
1889.25,-26.07,27.05
1889.42,-24.91,27.58
1889.58,-24.79,26.97
1889.75,-24.85,28.49
1889.92,-25.25,28.0
1890.1,-25.31,27.76
1890.3,-25.02,28.09
1890.5,-24.88,28.36
1890.7,-25.27,27.7
1890.9,-25.5,27.89
1891.08,-25.58,28.25
1891.25,-24.99,28.97
1891.42,-24.66,28.92
1891.58,-25.42,26.18
1891.75,-24.61,27.96
1891.92,-25.48,27.67
1892.08,-25.83,26.85
1892.25,-25.49,27.04
1892.42,-24.98,28.52
1892.58,-24.12,28.97
1892.75,-24.03,28.95
1892.92,-24.64,29.15
